,,top,mac,L4,L3,L2,L4_tree,L3_tree,L2_tree,mult_2x2,count,out_reg,pipe_reg,in_reg,accum
8x4,BG_L2_L4_10_L3_11_L2_10_DVAFS_0,512.17582,322.28793,317.94736,304.83039,250.23104,13.11696,54.59936,217.10283,33.12821,0.0,1.67856,0.0,171.27112,21.27877
8x4,BG_L2_L4_10_L3_11_L2_11_DVAFS_0,484.3164,258.78971,255.76379,244.19384,217.51447,11.56995,26.67937,185.43013,32.08434,0.0,0.93749,0.0,202.39401,25.22111
8x4,BG_L2_L4_11_L3_00_L2_00_DVAFS_0,734.34273,714.70051,609.99936,155.34634,155.34634,454.65302,0.0,132.93209,22.41424,0.0,19.46227,0.0,16.56917,88.31193
8x4,BG_L2_L4_11_L3_00_L2_10_DVAFS_0,416.98028,373.83308,357.85157,233.47963,233.47963,124.37194,-0.0,201.60689,31.87274,0.0,6.0946,0.0,39.01551,14.0186
8x4,BG_L2_L4_11_L3_00_L2_11_DVAFS_0,392.11503,336.32909,325.36958,203.63855,203.63855,121.73103,0.0,175.90378,27.73477,0.0,3.82811,0.0,50.87119,12.04615
8x4,BG_L2_L4_11_L3_10_L2_00_DVAFS_0,663.5203,618.00898,592.59423,288.74594,156.85336,303.84828,131.89258,129.38077,27.4726,0.0,5.60368,0.0,40.24995,25.07244
8x4,BG_L2_L4_11_L3_10_L2_10_DVAFS_0,574.65697,358.33846,353.96765,311.34894,247.60315,42.61871,63.74579,213.60014,34.00301,0.0,1.65921,0.0,194.9157,24.11441
8x4,BG_L2_L4_11_L3_10_L2_11_DVAFS_0,504.34922,301.4984,297.85108,253.16626,224.82895,44.68482,28.33731,193.67947,31.14948,0.0,0.94363,0.0,181.55522,23.99928
8x4,BG_L2_L4_11_L3_11_L2_00_DVAFS_0,814.94537,669.75549,661.626,435.22669,198.62312,226.39931,236.60357,165.31676,33.30637,0.0,1.9261,0.0,132.80949,18.58377
8x4,BG_L2_L4_11_L3_11_L2_10_DVAFS_0,807.3258,474.83492,472.94542,458.4863,363.67723,14.45912,94.80907,306.11327,57.56396,0.0,0.84817,0.0,303.38636,30.14585
8x4,BG_L2_L4_11_L3_11_L2_11_DVAFS_0,759.21406,351.23772,349.99181,335.8594,290.59419,14.13241,45.26521,248.36854,42.22565,0.0,0.2507,0.0,368.93757,40.03399
8x4,BG_L3_L4_00_L3_00_L2_10_DVAFS_0,398.01641,382.20357,195.65061,195.65061,79.63243,-0.0,116.01817,51.97017,27.66226,0.0,66.00903,0.0,10.26491,126.09187
8x4,BG_L3_L4_00_L3_00_L2_11_DVAFS_0,239.24691,210.04401,145.03644,145.03644,93.49959,0.0,51.53685,69.05871,24.44089,0.0,19.07064,0.0,25.63358,49.50625
8x4,BG_L3_L4_00_L3_10_L2_10_DVAFS_0,359.97145,333.00622,266.37735,266.37735,90.34579,0.0,176.03156,62.08578,28.26002,0.0,21.74341,0.0,24.12396,47.72673
8x4,BG_L3_L4_00_L3_10_L2_11_DVAFS_0,251.70072,183.6152,161.48532,161.39221,92.18594,0.09311,69.20627,67.02776,25.15818,0.0,6.22292,0.0,61.68811,22.30436
8x4,BG_L3_L4_00_L3_11_L2_10_DVAFS_0,319.62302,291.19996,250.77522,250.77522,75.34069,-0.0,175.43453,49.87612,25.46457,0.0,13.12926,0.0,26.04414,29.6744
8x4,BITBLADE,239.84337,168.36751,153.30019,153.30019,84.15679,0.0,69.1434,60.81842,23.33837,0.0,3.73211,0.0,65.25557,17.5555
8x4,BG_L3_L4_10_L3_00_L2_10_DVAFS_0,520.60308,488.26922,395.60962,241.44207,92.35185,154.16755,149.09022,62.58445,29.7674,0.0,21.40201,0.0,27.62076,75.97069
8x4,BG_L3_L4_10_L3_00_L2_11_DVAFS_0,261.86054,200.69121,185.16788,142.99033,91.59417,42.17755,51.39616,67.66809,23.92608,0.0,5.41915,0.0,55.10212,16.17139
8x4,BG_L3_L4_10_L3_10_L2_10_DVAFS_0,364.50183,257.35814,239.10461,197.50674,64.45295,41.59787,133.05379,43.76409,20.68886,0.0,6.26821,0.0,93.22549,25.90351
